X,Y,Z,layer,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,PH-uniqueid,PH-latD,PH-latM,PH-latSS,PH-latH,PH-lonD,PH-lonM,PH-lonSS,PH-lonH
151.817177,-33.41227122,457.2,1500 Area-Boundary,45,0,0,45,15000045,33,24,44.18,S,151,49,01.84,E
151.817177,-33.41227123,457.2,1500 Area-Boundary,46,0,0,46,15000046,33,24,44.18,S,151,49,01.84,E
151.8281383,-33.42159314,457.2,1500 Area-Boundary,47,0,0,47,15000047,33,25,17.74,S,151,49,41.30,E
151.8281383,-33.42159315,457.2,1500 Area-Boundary,48,0,0,48,15000048,33,25,17.74,S,151,49,41.30,E
151.8389066,-33.43107285,457.2,1500 Area-Boundary,49,0,0,49,15000049,33,25,51.86,S,151,50,20.06,E
151.8389066,-33.43107286,457.2,1500 Area-Boundary,50,0,0,50,15000050,33,25,51.86,S,151,50,20.06,E
151.8494786,-33.44070752,457.2,1500 Area-Boundary,51,0,0,51,15000051,33,26,26.55,S,151,50,58.12,E
151.8494787,-33.44070753,457.2,1500 Area-Boundary,52,0,0,52,15000052,33,26,26.55,S,151,50,58.12,E
151.8598513,-33.45049427,457.2,1500 Area-Boundary,53,0,0,53,15000053,33,27,01.78,S,151,51,35.46,E
151.8598513,-33.45049429,457.2,1500 Area-Boundary,54,0,0,54,15000054,33,27,01.78,S,151,51,35.46,E
151.8700213,-33.46043019,457.2,1500 Area-Boundary,55,0,0,55,15000055,33,27,37.55,S,151,52,12.08,E
151.8700213,-33.46043021,457.2,1500 Area-Boundary,56,0,0,56,15000056,33,27,37.55,S,151,52,12.08,E
151.8799857,-33.47051232,457.2,1500 Area-Boundary,57,0,0,57,15000057,33,28,13.84,S,151,52,47.95,E
151.8799857,-33.47051233,457.2,1500 Area-Boundary,58,0,0,58,15000058,33,28,13.84,S,151,52,47.95,E
151.8897413,-33.48073763,457.2,1500 Area-Boundary,59,0,0,59,15000059,33,28,50.66,S,151,53,23.07,E
151.8897413,-33.48073764,457.2,1500 Area-Boundary,60,0,0,60,15000060,33,28,50.66,S,151,53,23.07,E
151.8992851,-33.49110307,457.2,1500 Area-Boundary,61,0,0,61,15000061,33,29,27.97,S,151,53,57.43,E
151.8992851,-33.49110308,457.2,1500 Area-Boundary,62,0,0,62,15000062,33,29,27.97,S,151,53,57.43,E
151.9086143,-33.50160556,457.2,1500 Area-Boundary,63,0,0,63,15000063,33,30,05.78,S,151,54,31.01,E
151.9086143,-33.50160557,457.2,1500 Area-Boundary,64,0,0,64,15000064,33,30,05.78,S,151,54,31.01,E
151.9177259,-33.51224194,457.2,1500 Area-Boundary,65,0,0,65,15000065,33,30,44.07,S,151,55,03.81,E
